Date,Y_Date,Y
15-05-2015,15-05-2015,19350.0
18-05-2015,18-05-2015,19400.0
19-05-2015,19-05-2015,19350.0
20-05-2015,20-05-2015,19250.0
21-05-2015,21-05-2015,19250.0
22-05-2015,22-05-2015,19150.0
26-05-2015,25-05-2015,19150.0
27-05-2015,27-05-2015,19050.0
28-05-2015,28-05-2015,19050.0
29-05-2015,29-05-2015,19000.0
06-02-2015,02-06-2015,19000.0
06-03-2015,03-06-2015,19100.0
06-04-2015,04-06-2015,18900.0
06-05-2015,05-06-2015,18850.0
06-08-2015,08-06-2015,18850.0
06-09-2015,09-06-2015,18800.0
06-10-2015,10-06-2015,18850.0
06-11-2015,11-06-2015,18900.0
06-12-2015,12-06-2015,18900.0
15-06-2015,15-06-2015,18900.0
16-06-2015,16-06-2015,18900.0
17-06-2015,17-06-2015,18850.0
18-06-2015,18-06-2015,18900.0
19-06-2015,19-06-2015,19150.0
22-06-2015,22-06-2015,19100.0
23-06-2015,23-06-2015,18950.0
24-06-2015,24-06-2015,18850.0
25-06-2015,25-06-2015,18850.0
26-06-2015,26-06-2015,18850.0
29-06-2015,29-06-2015,18950.0
30-06-2015,30-06-2015,18850.0
07-02-2015,02-07-2015,18750.0
07-06-2015,03-07-2015,18700.0
07-07-2015,07-07-2015,18750.0
07-08-2015,08-07-2015,18650.0
07-09-2015,09-07-2015,18650.0
07-10-2015,10-07-2015,18700.0
13-07-2015,13-07-2015,18750.0
14-07-2015,14-07-2015,18650.0
15-07-2015,15-07-2015,18650.0
16-07-2015,16-07-2015,18600.0
17-07-2015,17-07-2015,18600.0
20-07-2015,20-07-2015,18100.0
21-07-2015,21-07-2015,18100.0
22-07-2015,22-07-2015,18050.0
23-07-2015,23-07-2015,18100.0
24-07-2015,24-07-2015,17900.0
27-07-2015,27-07-2015,18150.0
28-07-2015,28-07-2015,18100.0
29-07-2015,29-07-2015,18150.0
31-07-2015,31-07-2015,18100.0
08-03-2015,03-08-2015,18200.0
08-04-2015,04-08-2015,18100.0
08-05-2015,05-08-2015,18100.0
08-06-2015,06-08-2015,18100.0
08-07-2015,07-08-2015,18150.0
08-10-2015,10-08-2015,18200.0
08-11-2015,11-08-2015,18400.0
13-08-2015,13-08-2015,18700.0
14-08-2015,14-08-2015,18600.0
17-08-2015,17-08-2015,18650.0
18-08-2015,18-08-2015,18800.0
19-08-2015,19-08-2015,18850.0
20-08-2015,20-08-2015,19100.0
21-08-2015,21-08-2015,19600.0
24-08-2015,24-08-2015,19650.0
25-08-2015,25-08-2015,19500.0
26-08-2015,26-08-2015,19200.0
27-08-2015,27-08-2015,19050.0
28-08-2015,28-08-2015,19100.0
31-08-2015,31-08-2015,19250.0
09-01-2015,01-09-2015,19300.0
09-02-2015,02-09-2015,19300.0
