Y_Date,Y
10-05-2018,20000
14-05-2018,19950
15-05-2018,19850
16-05-2018,19700
17-05-2018,19650
21-05-2018,19700
22-05-2018,19650
23-05-2018,19650
24-05-2018,19700
30-05-2018,19800
31-05-2018,19750
04-06-2018,19650
05-06-2018,19600
06-06-2018,19650
07-06-2018,19600
11-06-2018,19750
12-06-2018,19750
13-06-2018,19750
14-06-2018,19750
18-06-2018,19850
19-06-2018,19850
20-06-2018,19800
21-06-2018,19750
25-06-2018,19850
26-06-2018,19800
27-06-2018,19650
28-06-2018,19650
02-07-2018,19650
03-07-2018,19600
05-07-2018,19750
09-07-2018,19750
10-07-2018,19750
11-07-2018,19750
12-07-2018,19700
16-07-2018,19650
17-07-2018,19600
18-07-2018,19450
19-07-2018,19400
23-07-2018,19500
24-07-2018,19450
25-07-2018,19400
26-07-2018,19400
31-07-2018,19300
01-08-2018,19250
02-08-2018,19200
06-08-2018,19200
07-08-2018,19150
08-08-2018,19150
09-08-2018,19150
14-08-2018,18950
15-08-2018,18900
16-08-2018,18550
20-08-2018,18700
21-08-2018,18600
22-08-2018,18550
23-08-2018,18600
27-08-2018,18700
28-08-2018,18650
29-08-2018,18650
30-08-2018,18700
04-09-2018,18650
05-09-2018,18600
06-09-2018,18650
10-09-2018,18650
11-09-2018,18600
12-09-2018,18600
13-09-2018,18650
17-09-2018,18550
18-09-2018,18550
19-09-2018,18550
20-09-2018,18550
24-09-2018,18450
25-09-2018,18450
26-09-2018,18500
27-09-2018,18450
01-10-2018,18250
02-10-2018,18250
03-10-2018,18500
04-10-2018,18500
08-10-2018,18650
09-10-2018,18600
10-10-2018,18550
11-10-2018,18650
16-10-2018,18950
17-10-2018,18900
18-10-2018,18900
22-10-2018,18950
24-10-2018,19150
25-10-2018,19250
29-10-2018,19350
30-10-2018,19350
31-10-2018,19250
01-11-2018,19100
05-11-2018,19200
06-11-2018,19250
07-11-2018,19200
08-11-2018,19100
12-11-2018,19000
13-11-2018,18900
14-11-2018,18800
15-11-2018,18850
19-11-2018,19050
20-11-2018,19050
21-11-2018,19100
26-11-2018,19150
27-11-2018,19150
28-11-2018,19050
29-11-2018,19050
03-12-2018,19100
04-12-2018,19150
06-12-2018,19300
11-12-2018,19350
12-12-2018,19350
13-12-2018,19300
17-12-2018,19250
18-12-2018,19350
19-12-2018,19350
20-12-2018,19350
26-12-2018,19600
27-12-2018,19600
02-01-2019,19650
03-01-2019,19700
07-01-2019,19550
08-01-2019,19550
09-01-2019,19500
10-01-2019,19550
14-01-2019,19550
15-01-2019,19550
16-01-2019,19500
17-01-2019,19400
22-01-2019,19300
23-01-2019,19350
24-01-2019,19300
28-01-2019,19450
29-01-2019,19500
30-01-2019,19550
31-01-2019,19550
04-02-2019,19500
05-02-2019,19500
06-02-2019,19500
07-02-2019,19400
11-02-2019,19550
12-02-2019,19450
13-02-2019,19450
14-02-2019,19500
20-02-2019,19800
21-02-2019,19750
25-02-2019,19700
26-02-2019,19700
27-02-2019,19750
28-02-2019,19700
04-03-2019,19550
05-03-2019,19500
06-03-2019,19400
07-03-2019,19450
11-03-2019,19500
12-03-2019,19450
13-03-2019,19550
14-03-2019,19550
18-03-2019,19500
19-03-2019,19600
20-03-2019,19600
21-03-2019,19750
25-03-2019,19700
26-03-2019,19750
27-03-2019,19800
28-03-2019,19800
01-04-2019,19450
02-04-2019,19400
03-04-2019,19450
04-04-2019,19450
09-04-2019,19600
10-04-2019,19650
11-04-2019,19650
17-04-2019,19300
22-04-2019,19350
23-04-2019,19300
24-04-2019,19300
25-04-2019,19400
29-04-2019,19450
30-04-2019,19400
02-05-2019,19350
07-05-2019,19400
08-05-2019,19450
09-05-2019,19350
13-05-2019,19300
14-05-2019,19450
15-05-2019,19350
16-05-2019,19350
21-05-2019,19300
22-05-2019,19300
23-05-2019,19300
28-05-2019,19400
29-05-2019,19350
30-05-2019,19300
04-06-2019,19650
05-06-2019,19700
06-06-2019,19750
10-06-2019,19750
11-06-2019,19750
12-06-2019,19700
13-06-2019,19750
17-06-2019,19850
18-06-2019,19900
19-06-2019,19900
20-06-2019,20250
24-06-2019,20450
25-06-2019,20650
26-06-2019,20650
27-06-2019,20500
01-07-2019,20250
02-07-2019,20250
03-07-2019,20600
08-07-2019,20350
09-07-2019,20350
10-07-2019,20350
11-07-2019,20600
15-07-2019,20650
17-07-2019,20600
18-07-2019,20750
22-07-2019,20800
23-07-2019,20750
24-07-2019,20800
25-07-2019,20850
30-07-2019,20800
31-07-2019,20800
01-08-2019,20600
05-08-2019,21050
06-08-2019,21350
07-08-2019,21550
08-08-2019,21800
13-08-2019,22050
14-08-2019,21900
15-08-2019,22150
19-08-2019,22050
20-08-2019,21850
21-08-2019,21950
22-08-2019,21900
26-08-2019,22300
27-08-2019,22150
28-08-2019,22300
29-08-2019,22150
03-09-2019,22150
04-09-2019,22350
05-09-2019,22350
09-09-2019,21950
10-09-2019,21650
11-09-2019,21650
12-09-2019,21650
16-09-2019,21750
17-09-2019,21700
18-09-2019,21700
19-09-2019,21650
23-09-2019,21900
24-09-2019,21950
25-09-2019,22150
26-09-2019,21900
30-09-2019,21700
01-10-2019,21300
02-10-2019,21450
