BVN,EUR_USD,Crude_Oil,JPY_THB,NYSE,TenBond_THB,USD_THB
7.51,1.1,80.92,0.26,15582.9,2.55,34.33
7.51,1.1,81,0.26,15653.6,2.53,34.44
7.77,1.1,82.48,0.26,15685,2.53,34.28
7.87,1.09,81.44,0.26,15668.3,2.77,34.5
7.75,1.1,80.5,0.26,15601.8,2.77,34.29
7.93,1.09,81.01,0.26,15520.9,2.7,34.28
8.24,1.09,80.44,0.26,15379.1,2.88,34.16
8.37,1.09,74.37,0.26,15487.8,2.86,34.22
8.08,1.09,72.98,0.26,15200.6,2.88,34.13
8.29,1.08,73.61,0.26,15124,2.9,34.18
8.14,1.08,72.86,0.26,14949.3,2.97,34.26
8.2,1.08,69.42,0.26,14894.8,3.05,34.43
8.2,1.08,69.51,0.26,14758.6,3.05,34.22
8.17,1.08,69.95,0.26,14693,3.2,33.99
8.04,1.09,69.48,0.26,14741.1,3.04,34.28
8.15,1.08,67.62,0.26,14986,2.87,34.43
8.27,1.07,66.62,0.26,14777.7,2.87,34.08
8.11,1.07,68.26,0.26,14599,2.9,34.09
8.3,1.06,68.22,0.26,14831,2.99,34.45
8.41,1.06,71.56,0.26,14662.5,3.1,34.64
8.13,1.07,74.7,0.26,14944.7,3.39,34.58
8.16,1.07,76.6,0.26,14764.4,3.33,34.52
8.37,1.06,75.65,0.26,14894.2,3.36,34.76
8.05,1.06,77.32,0.26,15140.8,2.71,34.98
8.15,1.05,80.5,0.26,15439,2.75,35.1
8.01,1.07,77.89,0.25,15694.3,2.21,34.47
8.04,1.06,77.74,0.25,15524.5,2.21,34.82
8.29,1.07,76.85,0.25,15436.3,2.09,34.71
8.63,1.06,75.76,0.26,15429,2.15,35.23
8.29,1.06,76.42,0.26,15492.9,2.15,35.01
7.75,1.05,75.6,0.26,15464.5,2.13,34.96
7.4,1.06,73.92,0.26,15584.9,2.18,34.69
7.42,1.06,76.11,0.26,15530.8,2.2,34.62
7.3,1.06,76.53,0.26,15572.5,2.1,34.6
7.46,1.07,78.07,0.26,15840.2,2.09,34.39
7.7,1.07,78.54,0.26,15873.8,2.07,34.37
7.45,1.07,78.83,0.26,16016.1,2.03,34.27
7.24,1.07,79.06,0.25,16025.1,2,33.89
7.24,1.07,79.94,0.26,16052.3,1.95,33.81
7.21,1.07,77.68,0.26,15910.7,1.95,33.71
7.34,1.07,77.49,0.26,15828.6,1.99,33.59
7.41,1.07,73.23,0.26,16021.6,1.88,33.54
7.47,1.08,75.92,0.25,15999.4,1.99,33.44
7.75,1.09,76.79,0.26,16122.6,1.99,33.01
7.64,1.1,79.06,0.25,16121.3,1.99,32.82
7.7,1.09,77.91,0.25,15818.9,1.9,32.78
8.37,1.09,80.04,0.25,15962.6,1.92,32.83
8.03,1.09,81.22,0.25,15985.9,1.88,32.82
7.91,1.09,80.48,0.25,15889.3,2,32.77
8.25,1.09,80.26,0.25,15868.2,2,32.8
8.43,1.09,81.62,0.25,15880.1,1.99,32.73
8.48,1.09,81.79,0.25,15777.5,1.96,32.74
8.29,1.08,80.84,0.26,15569.6,1.97,32.92
8.28,1.08,79.43,0.26,15649.1,1.99,32.96
8.15,1.08,81.34,0.26,15883.6,1.96,33
8.06,1.08,80.34,0.26,15918.4,1.95,33.04
7.95,1.09,78.58,0.26,15859.5,1.9,33.2
8.11,1.08,77.9,0.25,15749.1,1.95,33.43
8.32,1.07,75.06,0.25,15608.2,1.98,33.49
8.2,1.06,73.87,0.26,15539.7,1.94,33.77
8.13,1.05,74.18,0.26,15225.4,2.04,34.05
8.22,1.07,73.51,0.26,15184.3,1.99,34.54
8.03,1.07,80.66,0.26,15241.2,1.99,34.61
7.64,1.07,78.59,0.26,15037.3,1.99,34.77
7.54,1.06,78.61,0.26,15218.3,1.98,34.64
7.59,1.06,79.75,0.26,15188.5,2.06,34.69
7.61,1.06,80.97,0.26,15081.5,2.09,34.86
7.51,1.06,78.44,0.26,15219.5,2.03,34.71
7.55,1.06,78.47,0.26,15000.6,1.99,34.68
7.52,1.06,76,0.26,14938,2,34.86
7.71,1.06,75.77,0.25,15018.2,1.97,34.87
7.43,1.06,75.54,0.26,15182.3,1.91,35.05
7.36,1.06,76.24,0.25,15495,1.92,34.53
7.52,1.07,77.26,0.26,15562.5,1.9,34.61
7.59,1.06,75.19,0.26,15468.7,1.9,34.87
7.97,1.05,73.42,0.25,15399.9,1.88,34.72
8,1.06,72.07,0.25,15328.4,1.83,35.1
8.22,1.05,72.57,0.26,15767,1.86,34.71
8.19,1.05,74.47,0.26,15780,1.83,35.14
8.17,1.04,80.56,0.26,15433.5,1.8,35.48
8.31,1.03,78.75,0.26,15370.4,1.81,35.73
8.13,1.03,76.54,0.26,15605.7,1.79,35.9
7.7,1.04,75.93,0.26,15545.5,1.83,35.74
8.05,1.04,77.51,0.26,15481.8,1.84,36.13
8.1,1.03,81.08,0.26,15278.3,1.66,36.27
8.2,1.02,80.22,0.26,15309.8,1.66,35.81
7.75,1.03,80.3,0.26,15314.4,1.7,35.83
7.87,1.04,82.09,0.26,15090.1,1.7,35.75
7.91,1.04,85.22,0.26,15381,1.68,35.56
7.82,1.03,86.89,0.26,15445.1,1.71,35.72
8.13,1.03,85.25,0.25,15320.4,1.73,35.97
8.14,1.04,89.02,0.26,15234.7,1.69,36.2
7.53,1.02,86.27,0.26,14587.8,1.65,36.85
7.86,1,85.85,0.25,14808.6,1.65,37.37
8.08,1,91.87,0.25,14702.8,1.61,37.42
7.43,0.99,91,0.25,14455.7,1.58,37.99
7.39,0.98,87.9,0.26,14497.8,1.6,37.78
6.89,0.98,89.35,0.26,14790.7,1.62,37.73
6.44,0.99,88.62,0.26,14747,1.64,38.06
7.06,0.99,86.43,0.26,14795.6,1.61,37.94
7.17,0.99,88.39,0.26,14569.9,1.59,37.82
6.65,1,88.67,0.26,14531.7,1.56,37.8
6.68,1.01,88.26,0.26,14440.7,1.54,38.01
6.97,1,85.07,0.26,14226.1,1.55,38.22
6.94,0.99,84.88,0.26,13840.5,1.55,38.11
6.62,0.98,85.07,0.25,13947.3,1.56,38.32
6.5,0.98,85.94,0.26,14089.2,1.56,38.07
6.31,0.99,83.69,0.26,13923.2,1.56,38.09
6.4,0.98,85.7,0.26,13607.3,1.57,38.3
6.59,0.97,85.59,0.26,13693.6,1.57,37.98
6.59,0.97,91.14,0.26,13798.3,1.58,37.56
6.72,0.97,93.48,0.26,14262,1.51,37.47
6.76,0.99,88.08,0.26,14319.5,1.5,37.46
7.08,1,86.37,0.26,13472.2,1.56,37.85
6.98,0.98,81.02,0.26,13608.3,1.58,37.88
6.86,0.98,81.74,0.26,13833.2,1.59,37.74
6.76,0.97,81.9,0.26,13541.8,1.59,37.98
6.36,0.96,78.08,0.26,13580.4,1.61,37.92
5.97,0.96,76.47,0.26,13797,1.61,37.53
5.97,0.97,79.23,0.26,14116.6,1.63,37.38
5.85,0.98,83.54,0.26,14236.6,1.63,37.15
5.92,0.98,83.07,0.26,14474.7,1.61,37.02
6.21,1,84.25,0.26,14674.5,1.69,36.96
6.26,1,85.61,0.26,14573.9,1.69,36.9
6.35,1,85.21,0.25,14722,1.66,36.94
6.12,1,85.16,0.26,14843.2,1.67,36.6
6.06,1,88.91,0.26,14820.8,1.48,36.66
6.32,1,87.94,0.25,15352.2,1.62,36.33
6.27,1.01,88.09,0.25,15190.8,1.62,36.34
6.09,1.01,86.25,0.25,14961.8,1.62,36.49
6.5,1,82.8,0.25,14689.5,1.62,36.42
6.18,1,81.91,0.25,14771.9,1.62,36.58
5.87,0.99,86.84,0.26,14931.4,1.62,36.64
