Date,Dollar_Index,World_Gold_Price,Dow_Jones_Avg,Set_Index,Thai_Five_Bond,Thai_Ten_Bond,Oil_Price,Usd_Thb,Con_Index,Interest_Rate,Spx,Xag_Usd,Rhodium,Eur_Usd,Nyse,Bvn,Us_Five_Year,Us_Ten_Year,Copper,Palladium,Sales
เม.ย.20,99.02,"1,680.09","25,383.11","1,342.85",0.77,1.16,35.49,31.81,"3,044.31",17.84,"8,990",1.1098,"11,803.00",7.85,0.304,0.653,2.344,"1,972.90",97.17,0.75,"25,565.38"
มี.ค.20,99.05,"1,571.05","24,345.72","1,301.66",0.89,1.18,18.84,32.45,"2,912.43",15.02,"7,890",1.0955,"11,372.30",7.49,0.366,0.646,2.232,"1,951.80",99.19,0.75,"23,982.69"
ก.พ.20,98.13,"1,584.74","21,917.16","1,125.86",1.08,1.52,20.48,32.74,"2,584.59",13.97,"10,690",1.1029,"10,301.90",7.29,0.374,0.668,2.54,"2,289.90",100.05,1,"23,590.00"
ม.ค.20,97.39,"1,589.81","25,409.36","1,340.52",0.87,1.075,44.76,31.51,"2,954.22",16.66,"12,940",1.1025,"12,381.00",11.15,0.952,1.163,2.52,"2,491.10",100.13,1.25,"22,344.44"
ธ.ค.19,96.39,"1,517.01","28,256.03","1,514.14",1.155,1.32,51.56,31.2,"3,225.52",18.03,"10,165",1.1093,"13,614.10",12.93,1.315,1.505,2.797,"2,221.00",99.97,1.25,"21,103.85"
พ.ย.19,98.27,"1,463.90","28,538.44","1,579.84",1.27,1.495,61.06,29.76,"3,230.78",17.83,"6,040",1.121,"13,913.00",15.1,1.693,1.919,2.656,"1,903.60",99.96,1.25,"21,011.54"
ต.ค.19,97.35,"1,513.16","28,051.41","1,590.59",1.42,1.63,55.17,30.19,"3,140.98",17.02,"5,890",1.1015,"13,545.20",15.37,1.624,1.774,2.6425,"1,810.10",100.09,1.5,"21,405.56"
ก.ย.19,99.38,"1,472.00","27,046.23","1,601.49",1.445,1.565,54.18,30.18,"3,037.56",18.13,"5,380",1.115,"13,171.80",15.34,1.518,1.688,2.5785,"1,749.90",100.24,1.5,"21,754.00"
ส.ค.19,98.92,"1,519.85","26,916.83","1,637.22",1.415,1.5,54.07,30.59,"2,976.74",17,"5,290",1.0898,"13,004.70",15.18,1.546,1.668,2.547,"1,640.30",100.15,1.5,"21,724.07"
ก.ค.19,98.52,"1,413.55","26,403.28","1,654.92",1.38,1.48,55.1,30.6,"2,926.46",18.35,"4,890",1.0989,"12,736.90",15.24,1.391,1.499,2.6715,"1,539.20",100.34,1.75,"20,529.63"
