Y,DJI,Set_One,GBP_THB,EURUSD,Oil,XAG,XAU_XAG,Rhodium,Copper,SP_FIVE,JPY_THB,BVN ,Set,NYSE,USD_THB,TenBond_THB
32150,33034.18,1949.86,44.75,1.0509,89.42,21.1385,86.62,"4,090.00",3.656,"4,259.31",0.2479,7.95,"1,430.74","15,070.90",36.905,3.2
32450,33301.7,1990.72,44.67,1.047,88.67,21.0926,85.99,"4,090.00",3.583,"4,233.83",0.2487,8.13,"1,458.65","15,049.60",37.08,3.16
31850,33431.31,2009.48,44.56,1.0477,90.82,22.1827,87.35,"4,090.00",3.6185,"4,269.75",0.2471,8.23,"1,473.54","15,230.00",36.95,3.17
32000,33882.41,2026.55,44.6,1.0568,91.76,22.6245,83.62,"4,090.00",3.648,"4,284.52",0.2445,8.49,"1,482.12","15,398.20",36.55,3.14
31900,33519.44,2048.93,44.52,1.0566,93.78,22.57,82.32,"4,090.00",3.754,"4,328.18",0.245,8.59,"1,497.65","15,478.10",36.56,3.02
32050,33682.81,2044.39,44.26,1.0503,90.53,22.8396,83.23,"4,090.00",3.7125,"4,269.65",0.2453,8.45,"1,494.14","15,394.70",36.67,2.98
32250,33862.68,2054.69,44.21,1.0569,89.88,23.1274,83.22,"4,090.00",3.6465,"4,282.63",0.2444,8.44,"1,504.69","15,381.60",36.4,3.02
32500,33907.59,2083.58,44.05,1.0593,90.55,23.545,82.87,"4,090.00",3.6465,"4,312.88",0.2431,8.51,"1,524.39","15,593.70",36.19,2.98
32750,34077.08,2066.69,44.43,1.0655,89.62,23.4255,81.74,"4,090.00",3.673,"4,310.62",0.2422,8.5,"1,514.07","15,569.50",35.99,2.62
32800,34332.23,2053.15,44.62,1.066,89.3,23.2824,81.98,"4,090.00",3.6955,"4,341.74",0.2446,8.51,"1,504.55","15,601.60",36.16,2.62
32700,34575.5,2078.56,44.65,1.066,91.55,23.2775,83.33,"4,090.00",3.691,"4,374.36",0.2441,8.25,"1,521.66","15,859.60",36.14,2.6
32850,34571.84,2087.39,44.19,1.0682,92.22,23.275,83.22,"4,090.00",3.741,"4,452.81",0.2438,8.29,"1,527.68","15,929.00",36.02,2.6
32850,34639.25,2103.1,44.19,1.0687,91.2,23.0652,83.04,"4,090.00",3.752,"4,445.41",0.2417,8.74,"1,539.40","15,952.50",35.69,2.6
32850,34902.04,2118.09,44.4,1.0663,90.67,22.6585,83.38,"4,090.00",3.78,"4,445.13",0.2421,8.63,"1,550.04","15,973.70",35.71,2.6
32500,34687.5,2099.97,44.6,1.0639,88.81,22.832,84.4,"4,090.00",3.7975,"4,497.98",0.2427,8.71,"1,538.03","16,089.50",35.79,2.57
32400,34667.28,2109.71,44.43,1.0729,88.75,23.1018,83.61,"4,090.00",3.8155,"4,487.78",0.2426,8.51,"1,546.47","15,926.60",35.72,2.59
32250,34718.8,2109.83,44.51,1.0754,87.4,22.917,82.95,"4,090.00",3.785,"4,462.65",0.2419,8.47,"1,548.93","15,953.90",35.6,2.54
32200,34512.3,2114.99,44.44,1.0716,86.78,22.975,83.6,"4,090.00",3.791,"4,480.98",0.2411,8.44,"1,551.20","15,879.00",35.64,2.53
32200,34611.68,2110.13,44.56,1.0697,86.72,23.5687,83.65,"4,090.00",3.717,"4,451.30",0.2418,8.29,"1,547.75","15,864.20",35.645,2.51
32200,34824.39,2112.84,44.48,1.0729,86.06,24.0037,81.75,"4,090.00",3.7605,"4,490.35",0.2404,8.34,"1,548.87","15,942.50",35.465,2.49
32300,34876.24,2138.67,44.37,1.0797,83.63,24.4023,80.9,"4,090.00",3.8375,"4,510.06",0.2407,8.41,"1,569.20","16,091.80",35.25,2.52
32250,34909.09,2150.77,44.59,1.084,81.7,24.6284,79.41,"4,090.00",3.855,"4,530.60",0.2406,8.64,"1,575.30","16,000.40",35.01,2.54
32250,34847.8,2152.02,44.27,1.0926,81.29,24.73,78.97,"4,090.00",3.833,"4,517.01",0.2397,8.65,"1,574.30","16,074.20",35.05,2.49
32050,34531.12,2141.02,44.39,1.0879,79.98,24.2207,78.33,"4,090.00",3.8385,"4,500.34",0.2399,8.71,"1,566.00","16,041.50",35.02,2.49
32050,34441.64,2142.46,44.2,1.0814,80.15,24.24,79.33,"4,090.00",3.8395,"4,432.75",0.2406,8.4,"1,566.00","15,879.60",35.22,2.46
32000,34244.54,2127.92,44.09,1.0801,78.88,24.1577,78.99,"4,090.00",3.793,"4,426.03",0.2396,8.19,"1,554.74","15,766.90",35.16,2.56
31900,34439.83,2126.78,44.52,1.081,78.57,24.3447,79.39,"4,090.00",3.8165,"4,389.38",0.2398,8.14,"1,552.97","15,683.00",34.99,2.54
31800,34338.59,2123.52,44.59,1.0863,79.64,23.4175,78.86,"4,090.00",3.789,"4,455.16",0.2415,8.05,"1,550.20","15,823.30",34.98,2.51
31700,34494.17,2104.34,44.94,1.0848,80.8,23.3213,81.03,"4,090.00",3.8255,"4,396.44",0.2403,8.02,"1,535.54","15,690.30",35.04,2.51
31650,34531.28,2083.62,45.06,1.0893,81.43,22.725,81.3,"4,090.00",3.7845,"4,415.33",0.2407,7.85,"1,522.44","15,746.20",35.22,2.52
31400,34265.23,2087.2,45.22,1.0878,80.04,22.7125,82.88,"4,090.00",3.76,"4,380.28",0.2432,7.67,"1,525.75","15,750.20",35.38,2.47
