Y,Copper,Rhodium,SP,US_Five,US_Ten,DJI,Set,GBP_THB,JPY_THB,USD_THB,BVN ,EUR_USD,XAG_USD,THB_Five,THB_Ten,NYSE,SET,Oil
33800,3.58,4090,4269.75,4.72,4.73,33301.7,2048.93,44.79,0.24,36.91,8.23,1.0509,21.0261,2.04,2.98,15230,1497.65,84.45
34000,3.62,4090,4284.52,4.8,4.73,33431.31,2044.39,44.75,0.24,37.08,8.49,1.047,21.1385,2.05,3.02,15398.2,1494.14,89.42
34100,3.65,4090,4328.18,4.71,4.8,33882.41,2054.69,44.67,0.24,36.95,8.59,1.0477,21.0926,2,2.98,15478.1,1504.69,88.67
33950,3.75,4090,4269.65,4.66,4.68,33519.44,2083.58,44.56,0.24,36.55,8.45,1.0568,22.1827,2,2.94,15394.7,1524.39,90.82
33500,3.71,4090,4282.63,4.63,4.61,33682.81,2066.69,44.6,0.24,36.56,8.44,1.0566,22.6245,2.03,2.62,15381.6,1514.07,91.76
33150,3.65,4090,4312.88,4.68,4.58,33862.68,2053.15,44.52,0.24,36.67,8.51,1.0503,22.57,2.16,2.62,15593.7,1504.55,93.78
32850,3.65,4090,4310.62,4.6,4.61,33907.59,2078.56,44.26,0.24,36.4,8.5,1.0569,22.8396,2.15,2.6,15569.5,1521.66,90.53
32850,3.67,4090,4341.74,4.63,4.53,34077.08,2087.39,44.21,0.24,36.19,8.51,1.0593,23.1274,2.17,2.6,15601.6,1527.68,89.88
32900,3.7,4090,4374.36,4.56,4.55,34332.23,2103.1,44.05,0.25,35.99,8.25,1.0655,23.545,2.22,2.6,15859.6,1539.4,90.55
32250,3.69,4090,4452.81,4.62,4.44,34575.5,2118.09,44.43,0.25,36.16,8.29,1.066,23.4255,2.32,2.6,15929,1550.04,89.62
32200,3.74,4090,4445.41,4.59,4.49,34571.84,2099.97,44.62,0.25,36.14,8.74,1.066,23.2824,2.33,2.57,15952.5,1538.03,89.3
32150,3.75,4090,4445.13,4.51,4.41,34639.25,2109.71,44.65,0.25,36.02,8.63,1.0682,23.2775,2.43,2.57,15973.7,1546.47,91.55
32450,3.78,4090,4497.98,4.45,4.37,34902.04,2104.6,44.19,0.25,35.69,8.71,1.0687,23.275,2.48,2.57,16089.5,1544.08,92.22
32350,3.8,4090,4487.78,4.45,4.31,34687.5,2109.83,44.19,0.25,35.71,8.51,1.0663,23.0652,2.46,2.59,15926.6,1548.93,91.2
31950,3.82,4090,4462.65,4.42,4.31,34667.28,2114.99,44.4,0.25,35.79,8.47,1.0639,22.6585,2.6,2.54,15953.9,1551.2,90.67
31850,3.79,4090,4473.27,4.38,4.29,34620.02,2112.54,44.6,0.25,35.72,8.36,1.0729,22.832,2.76,2.53,15949.4,1548.86,88.81
31850,3.79,4090,4480.98,4.43,4.25,34718.8,2110.13,44.43,0.24,35.6,8.44,1.0754,23.1018,2.82,2.51,15879,1547.75,88.75
32000,3.8,4090,4451.3,4.42,4.29,34512.3,2112.84,44.41,0.24,35.5,8.29,1.0751,23.045,2.78,2.49,15864.2,1548.87,87.27
