Y_Date,Y
19-10-2020,28100
16-10-2020,28150
15-10-2020,28000
14-10-2020,28000
12-10-2020,28300
09-10-2020,28100
08-10-2020,27900
07-10-2020,27900
06-10-2020,28300
05-10-2020,28350
02-10-2020,28400
01-10-2020,28250
30-09-2020,28400
29-09-2020,28300
28-09-2020,27900
25-09-2020,27850
24-09-2020,27900
23-09-2020,28300
22-09-2020,28400
21-09-2020,28650
18-09-2020,28750
17-09-2020,28750
16-09-2020,28900
15-09-2020,28950
14-09-2020,28850
11-09-2020,28850
10-09-2020,28750
09-09-2020,28650
08-09-2020,28650
03-09-2020,28850
02-09-2020,29050
01-09-2020,29100
31-08-2020,28900
28-08-2020,28650
27-08-2020,28750
26-08-2020,28650
25-08-2020,28850
24-08-2020,28850
21-08-2020,28950
20-08-2020,28850
19-08-2020,29400
18-08-2020,29350
17-08-2020,28550
14-08-2020,28650
13-08-2020,28400
11-08-2020,29700
10-08-2020,29900
07-08-2020,30350
06-08-2020,29850
05-08-2020,29450
04-08-2020,29050
03-08-2020,29100
31-07-2020,29000
30-07-2020,29100
29-07-2020,29050
24-07-2020,28200
23-07-2020,27850
22-07-2020,27650
21-07-2020,27250
20-07-2020,27150
17-07-2020,27000
16-07-2020,27050
15-07-2020,26950
14-07-2020,26800
13-07-2020,26700
10-07-2020,26700
09-07-2020,26650
08-07-2020,26550
07-07-2020,26250
03-07-2020,26150
02-07-2020,26000
01-07-2020,26100
30-06-2020,25900
29-06-2020,25850
26-06-2020,25800
25-06-2020,25750
24-06-2020,25850
23-06-2020,25700
22-06-2020,25700
19-06-2020,25400
18-06-2020,25450
17-06-2020,25450
16-06-2020,25400
15-06-2020,25400
12-06-2020,25450
11-06-2020,25350
10-06-2020,25450
09-06-2020,25250
08-06-2020,25250
05-06-2020,25600
04-06-2020,25600
02-06-2020,26050
01-06-2020,26100
29-05-2020,25950
28-05-2020,25900
27-05-2020,25900
26-05-2020,26200
25-05-2020,26150
22-05-2020,26100
21-05-2020,26300
20-05-2020,26350
19-05-2020,26300
18-05-2020,26600
15-05-2020,26250
14-05-2020,26000
13-05-2020,25900
12-05-2020,25900
11-05-2020,26000
08-05-2020,26150
07-05-2020,26000
05-05-2020,26000
30-04-2020,26150
29-04-2020,26150
28-04-2020,26100
27-04-2020,26350
24-04-2020,26350
23-04-2020,26100
22-04-2020,25900
21-04-2020,26000
20-04-2020,25800
17-04-2020,26100
16-04-2020,26200
15-04-2020,26250
14-04-2020,26250
13-04-2020,25700
09-04-2020,25350
08-04-2020,25400
07-04-2020,25650
03-04-2020,25050
02-04-2020,24850
01-04-2020,24650
31-03-2020,24900
30-03-2020,24900
27-03-2020,24800
26-03-2020,24550
25-03-2020,24800
24-03-2020,24450
23-03-2020,23250
20-03-2020,22800
19-03-2020,23000
18-03-2020,23450
17-03-2020,22700
16-03-2020,23300
13-03-2020,23750
12-03-2020,24450
11-03-2020,24700
10-03-2020,24800
09-03-2020,25250
06-03-2020,25000
05-03-2020,24400
04-03-2020,24450
03-03-2020,23850
02-03-2020,23750
28-02-2020,24550
27-02-2020,24850
26-02-2020,24750
25-02-2020,24800
24-02-2020,24950
21-02-2020,24250
