Y,BVN,EUR_USD,JPY_THB,NYSE,TenBond_THB,USD_THB,Oil_Crud
29700.00,8.32,1.07,0.25,15608.20,1.98,33.49,75.06
29700.00,8.20,1.06,0.26,15539.70,1.94,33.77,73.87
29600.00,8.13,1.05,0.26,15225.40,2.04,34.05,74.18
29750.00,8.22,1.07,0.26,15184.30,1.99,34.54,73.51
29750.00,8.03,1.07,0.26,15241.20,1.99,34.61,80.66
29600.00,7.64,1.07,0.26,15037.30,1.99,34.77,78.59
29600.00,7.54,1.06,0.26,15218.30,1.98,34.64,78.61
29650.00,7.59,1.06,0.26,15188.50,2.06,34.69,79.75
29500.00,7.61,1.06,0.26,15081.50,2.09,34.86,80.97
29550.00,7.51,1.06,0.26,15219.50,2.03,34.71,78.44
29700.00,7.55,1.06,0.26,15000.60,1.99,34.68,78.47
29700.00,7.52,1.06,0.26,14938.00,2.00,34.86,76.00
29500.00,7.71,1.06,0.25,15018.20,1.97,34.87,75.77
29450.00,7.43,1.06,0.26,15182.30,1.91,35.05,75.54
29450.00,7.36,1.06,0.25,15495.00,1.92,34.53,76.24
29500.00,7.52,1.07,0.26,15562.50,1.90,34.61,77.26
29550.00,7.59,1.06,0.26,15468.70,1.90,34.87,75.19
29300.00,7.97,1.05,0.25,15399.90,1.88,34.72,73.42
29400.00,8.00,1.06,0.25,15328.40,1.83,35.10,72.07
29350.00,8.22,1.05,0.26,15767.00,1.86,34.71,72.57
29400.00,8.19,1.05,0.26,15780.00,1.83,35.14,74.47
29350.00,8.17,1.04,0.26,15433.50,1.80,35.48,80.56
29350.00,8.31,1.03,0.26,15370.40,1.81,35.73,78.75
29450.00,8.13,1.03,0.26,15605.70,1.79,35.90,76.54
29650.00,7.70,1.04,0.26,15545.50,1.83,35.74,75.93
29650.00,8.05,1.04,0.26,15481.80,1.84,36.13,77.51
29700.00,8.10,1.03,0.26,15278.30,1.66,36.27,81.08
29750.00,8.20,1.02,0.26,15309.80,1.66,35.81,80.22
29700.00,7.75,1.03,0.26,15314.40,1.70,35.83,80.30
29850.00,7.87,1.04,0.26,15090.10,1.70,35.75,82.09
29900.00,7.91,1.04,0.26,15381.00,1.68,35.56,85.22
29850.00,7.82,1.03,0.26,15445.10,1.71,35.72,86.89
29850.00,8.13,1.03,0.25,15320.40,1.73,35.97,85.25
29850.00,8.14,1.04,0.26,15234.70,1.69,36.20,89.02
29800.00,7.53,1.02,0.26,14587.80,1.65,36.85,86.27
29700.00,7.86,1.00,0.25,14808.60,1.65,37.37,85.85
29500.00,8.08,1.00,0.25,14702.80,1.61,37.42,91.87
29500.00,7.43,0.99,0.25,14455.70,1.58,37.99,91.00
29250.00,7.39,0.98,0.26,14497.80,1.60,37.78,87.90
29300.00,6.89,0.98,0.26,14790.70,1.62,37.73,89.35
29350.00,6.44,0.99,0.26,14747.00,1.64,38.06,88.62
29450.00,7.06,0.99,0.26,14795.60,1.61,37.94,86.43
29500.00,7.17,0.99,0.26,14569.90,1.59,37.82,88.39
29650.00,6.65,1.00,0.26,14531.70,1.56,37.80,88.67
29700.00,6.68,1.01,0.26,14440.70,1.54,38.01,88.26
29700.00,6.97,1.00,0.26,14226.10,1.55,38.22,85.07
29700.00,6.94,0.99,0.26,13840.50,1.55,38.11,84.88
29500.00,6.62,0.98,0.25,13947.30,1.56,38.32,85.07
29550.00,6.50,0.98,0.26,14089.20,1.56,38.07,85.94
29700.00,6.31,0.99,0.26,13923.20,1.56,38.09,83.69
29750.00,6.40,0.98,0.26,13607.30,1.57,38.30,85.70
29750.00,6.59,0.97,0.26,13693.60,1.57,37.98,85.59
29950.00,6.59,0.97,0.26,13798.30,1.58,37.56,91.14
30100.00,6.72,0.97,0.26,14262.00,1.51,37.47,93.48
30300.00,6.76,0.99,0.26,14319.50,1.50,37.46,88.08
30350.00,7.08,1.00,0.26,13472.20,1.56,37.85,86.37
29750.00,6.98,0.98,0.26,13608.30,1.58,37.88,81.02
29700.00,6.86,0.98,0.26,13833.20,1.59,37.74,81.74
29650.00,6.76,0.97,0.26,13541.80,1.59,37.98,81.90
29250.00,6.36,0.96,0.26,13580.40,1.61,37.92,78.08
29250.00,5.97,0.96,0.26,13797.00,1.61,37.53,76.47
29300.00,5.97,0.97,0.26,14116.60,1.63,37.38,79.23
29450.00,5.85,0.98,0.26,14236.60,1.63,37.15,83.54
29300.00,5.92,0.98,0.26,14474.70,1.61,37.02,83.07
29200.00,6.21,1.00,0.26,14674.50,1.69,36.96,84.25
29200.00,6.26,1.00,0.26,14573.90,1.69,36.90,85.61
29150.00,6.35,1.00,0.25,14722.00,1.66,36.94,85.21
29100.00,6.12,1.00,0.26,14843.20,1.67,36.60,85.16
29400.00,6.06,1.00,0.26,14820.80,1.48,36.66,88.91
29500.00,6.32,1.00,0.25,15352.20,1.62,36.33,87.94
29550.00,6.27,1.01,0.25,15190.80,1.62,36.34,88.09
29500.00,6.09,1.01,0.25,14961.80,1.62,36.49,86.25
29500.00,6.50,1.00,0.25,14689.50,1.62,36.42,82.80
29550.00,6.18,1.00,0.25,14771.90,1.62,36.58,81.91
29600.00,5.87,0.99,0.26,14931.40,1.62,36.64,86.84
29550.00,5.78,1.00,0.26,15118.80,1.62,36.73,86.56
29750.00,5.44,0.99,0.26,15178.20,1.62,36.47,92.31
29800.00,5.43,1.00,0.26,15595.20,1.62,36.32,96.90
29700.00,5.32,1.00,0.26,15392.10,1.62,36.19,92.96
29750.00,5.42,1.00,0.26,15338.20,1.62,35.86,93.06
