Y,BVN,JPY_THB,NYSE,Oil,Thai_Ten,USD_THB
29600.00,7.72,0.25,14889.30,80.06,3.75,35.74
29900.00,7.43,0.25,14808.60,81.32,3.69,36.02
30100.00,7.39,0.25,14702.80,80.56,3.69,36.13
29900.00,6.89,0.25,14455.70,78.75,3.66,36.27
29800.00,6.44,0.25,14497.80,76.54,3.66,35.81
29800.00,7.06,0.25,14790.70,75.93,3.83,35.83
29850.00,7.17,0.25,14747.00,77.51,3.83,35.75
29950.00,6.65,0.25,14795.60,77.53,3.82,35.56
30000.00,6.68,0.25,14569.90,81.08,3.79,35.72
29950.00,6.97,0.25,14531.70,80.22,3.69,35.97
29850.00,6.94,0.26,14440.70,80.30,3.78,36.20
29800.00,6.62,0.26,14226.10,82.09,3.87,36.85
29750.00,6.64,0.26,14144.00,85.22,3.90,37.00
29900.00,6.50,0.26,13840.50,86.89,4.09,37.37
29750.00,6.31,0.26,13947.30,85.25,4.13,37.42
29650.00,6.40,0.26,14089.20,89.02,4.22,37.99
29700.00,6.59,0.26,13923.20,86.27,4.16,37.78
29550.00,6.59,0.25,13607.30,85.85,4.16,37.73
29700.00,6.67,0.25,13889.00,88.57,4.12,38.06
29650.00,6.36,0.25,13546.80,91.87,4.05,37.94
29600.00,6.46,0.26,13608.10,91.00,4.06,37.82
29750.00,6.72,0.26,13693.60,87.90,4.02,37.80
29850.00,6.76,0.26,13798.30,89.35,3.93,38.01
29750.00,7.13,0.26,14087.40,88.62,4.01,38.22
29750.00,7.08,0.26,14262.00,86.43,4.09,38.03
29750.00,6.98,0.26,14319.50,88.39,4.23,38.11
29600.00,7.08,0.26,13855.70,88.67,4.21,38.32
29600.00,6.86,0.26,13472.20,88.26,4.23,38.07
29650.00,6.76,0.26,13608.30,85.07,4.14,38.09
29500.00,6.36,0.26,13833.20,84.88,4.01,38.30
29550.00,5.97,0.26,13541.80,85.24,4.00,38.05
29500.00,5.97,0.26,13580.40,85.07,4.00,37.94
29550.00,5.85,0.26,13797.00,85.94,3.96,38.11
29700.00,5.92,0.26,14116.60,83.69,3.91,37.98
29700.00,6.21,0.26,14236.60,85.70,3.95,37.56
29500.00,6.26,0.26,14474.70,85.59,3.96,37.36
29450.00,6.35,0.26,14674.50,89.27,3.95,37.47
29500.00,6.12,0.25,14573.90,87.08,3.82,37.46
29450.00,6.06,0.26,14722.00,88.67,3.75,37.79
29500.00,6.32,0.26,14843.20,91.14,3.63,37.85
29550.00,6.27,0.25,14820.80,93.48,3.62,37.88
29300.00,6.09,0.26,15352.20,88.93,3.81,37.74
29450.00,6.50,0.26,15190.80,88.08,3.78,37.98
29450.00,6.18,0.25,14961.80,86.37,3.75,37.92
29400.00,5.87,0.25,14631.50,83.22,3.95,37.53
29350.00,5.77,0.25,14689.50,81.02,3.91,37.38
29400.00,5.78,0.25,14771.90,81.74,3.73,37.15
29350.00,5.44,0.26,14801.20,81.90,3.71,37.02
29500.00,5.20,0.26,14931.40,78.08,3.55,36.96
29450.00,5.43,0.26,15118.80,76.47,3.56,36.90
29500.00,5.32,0.26,15178.20,79.23,3.49,36.94
29350.00,5.42,0.26,15595.20,83.54,3.45,36.60
29350.00,5.66,0.26,15392.10,83.07,3.45,36.66
29450.00,5.66,0.26,15338.20,84.25,3.40,36.33
