Y,BOND10THB,OIL,SET,USD_THB,XAU_USD
28400,2.16,88.84,1705.73,32.71,1832.94
28550,2.15,85.71,1633.78,33.12,1818.44
28750,2.125,83.32,1636.33,33,1843.34
28700,2.18,83.65,1651.21,32.91,1838.65
28450,2.2,83.77,1680.28,33.09,1819.77
28650,2.095,81.21,1676.58,33.22,1822.55
28750,2.09,82.12,1680.83,33.3,1825.94
28700,2.07,80.71,1676.03,33.35,1822.49
28650,2.05,78.51,1661.5,33.65,1795.41
28500,2.03,79,1659.15,33.56,1789.55
28500,2,75.8,1664.51,33.24,1801.34
28700,1.95,75.71,1643.43,33.54,1805.59
28700,1.95,72.59,1633.2,33.67,1803.69
28600,1.99,70.97,1628.42,33.68,1788.94
28550,1.88,69.88,1631.22,33.34,1799.4
28200,1.99,71.28,1629.48,33.42,1777.4
28100,1.99,70.12,1628.01,33.43,1770.49
28400,1.99,71.62,1617.09,33.69,1784.4
28500,1.9,67.17,1593.08,33.88,1768.84
28400,1.92,66.68,1576.26,33.75,1774.15
28500,1.88,69.69,1601.52,33.72,1785.34
28650,2,68.93,1608.01,33.71,1790.05
28250,2,77.9,1650.54,33.11,1790.34
28350,1.99,75.81,1652.62,33.02,1805.65
28750,1.955,75.07,1648.14,32.81,1846.74
28850,1.97,77.49,1643.39,32.62,1866.97
28800,1.99,79.6,1646.86,32.76,1850.34
28900,1.96,79.8,1642.05,32.72,1862.94
28700,1.95,80.1,1629.28,32.83,1849.69
28350,1.895,80.87,1626.8,32.93,1824.74
28500,1.9,80,1631.34,33.17,1818.44
28350,1.945,78.32,1627.45,33.36,1792.14
28050,1.98,78.93,1613.45,33.3,1769.98
28200,1.94,81.7,1620.52,33.265,1787.71
28200,2.04,81.58,1627.59,33.31,1783.24
28250,1.99,81.71,1626.27,33.21,1799.03
28150,1.99,83.11,1632.44,33.215,1793.04
28250,1.99,82.61,1635.61,33.055,1807.9
28300,1.98,82.64,1645,33.32,1794
28250,2.06,82.45,1644.39,33.37,1782.1
28050,2.09,82.46,1633.88,33.33,1769.28
28000,2.03,81.58,1648.48,33.485,1764.99
28250,1.99,80.93,1646.35,33.165,1795.81
27900,2,79.89,1644.56,33.69,1754.12
28200,1.97,78.47,1641.92,33.78,1755.89
28200,1.91,76.63,1627.15,33.82,1762.74
28200,1.92,78.58,1626.65,33.825,1760.45
28250,1.895,77.29,1612.5,33.77,1769.75
