Y,DJI,Set_One,GBP_THB,EURUSD,Oil,XAG,XAU_XAG,Rhodium,SP_FIVE,JPY_THB,BVN ,Set,NYSE,USD_THB,TenBond_THB
31650.00,34531.28,2083.62,45.06,1.09,81.43,22.73,81.30,4090.00,4415.33,0.24,7.85,1522.44,15746.20,35.22,2.52
31400.00,34265.23,2087.20,45.22,1.09,80.04,22.71,82.88,4090.00,4380.28,0.24,7.67,1525.75,15750.20,35.38,2.47
31450.00,34829.61,2071.64,45.19,1.09,79.25,22.43,83.26,4090.00,4344.88,0.24,7.64,1515.10,15734.40,35.48,2.51
31500.00,34914.96,2072.09,44.94,1.09,81.23,22.55,84.45,4090.00,4416.32,0.24,7.83,1514.84,15818.10,35.45,2.54
31700.00,35160.55,2103.80,44.71,1.09,82.52,22.59,84.31,4090.00,4433.79,0.24,7.74,1534.05,15911.30,35.38,2.43
31800.00,35111.36,2105.63,44.53,1.09,82.83,22.72,84.38,4090.00,4478.87,0.24,7.90,1535.47,16116.00,35.24,2.38
31850.00,35324.28,2084.88,44.64,1.10,82.88,22.76,84.28,4090.00,4450.69,0.24,7.90,1520.90,16135.20,35.13,2.34
31750.00,35345.40,2106.00,44.54,1.10,82.53,23.08,84.59,4090.00,4501.57,0.24,7.92,1534.61,16176.30,35.03,2.25
31800.00,35194.56,2115.74,43.84,1.10,79.77,23.73,83.75,4090.00,4498.03,0.24,7.81,1543.78,16208.20,34.84,2.31
31850.00,35551.92,2124.76,43.86,1.09,82.05,24.35,81.60,4090.00,4494.27,0.24,7.77,1550.06,16174.50,34.49,2.48
31850.00,35465.97,2125.57,44.03,1.10,80.65,24.34,79.98,4090.00,4550.93,0.24,7.65,1548.75,16356.50,34.35,2.45
31600.00,35558.79,2090.51,44.26,1.10,78.90,24.92,80.43,4090.00,4584.82,0.24,7.71,1527.12,16363.30,34.26,2.52
31600.00,35345.99,2090.63,44.48,1.11,79.34,24.65,79.16,3990.00,4598.26,0.24,7.64,1527.41,16418.20,34.20,2.52
31700.00,35421.49,2092.53,44.32,1.11,78.85,24.37,79.67,3990.00,4558.96,0.24,7.59,1529.17,16385.20,34.49,2.52
31900.00,35230.79,2089.23,44.27,1.11,77.01,24.62,80.41,4040.00,4555.19,0.24,7.68,1529.41,16369.10,34.53,2.55
31950.00,35274.32,2080.40,44.02,1.11,75.70,24.79,79.68,4140.00,4543.39,0.24,7.82,1524.04,16289.10,34.43,2.56
31950.00,35091.98,2096.98,44.05,1.11,75.35,25.15,79.51,4240.00,4550.16,0.24,7.55,1536.08,16263.70,34.20,2.47
31900.00,34991.21,2100.31,44.45,1.12,75.84,25.06,78.74,4340.00,4554.38,0.24,7.42,1537.68,16230.90,34.04,2.47
31850.00,34597.08,2082.46,45.26,1.12,74.18,24.83,78.94,4340.00,4563.87,0.24,7.30,1527.13,16156.50,34.07,2.47
31750.00,34499.74,2077.24,45.34,1.12,75.02,24.93,78.76,4340.00,4521.78,0.25,7.73,1521.39,16054.20,34.61,2.48
31850.00,34425.33,2043.15,45.35,1.12,77.16,24.85,78.48,4340.00,4508.86,0.25,7.84,1497.85,16040.20,34.65,2.42
31850.00,34412.31,2032.56,45.03,1.12,75.85,24.16,78.78,4290.00,4514.61,0.25,7.95,1491.05,16106.80,34.52,2.42
